"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"RN502,RN501";"SOT-23";2;"MPMT2003AT5";;;
2;"U503";"TSSOP-16_4.4x5mm_P0.65mm";1;"DG412LEDQ";;;
3;"J201";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";1;"1715721";;;
4;"FB301,FB501,FB401";"L_0805_2012Metric_Pad1.05x1.20mm_HandSolder";3;"742792031";;;
5;"D401";"LED_Avago_PLCC4_3.2x2.8mm_CW";1;"ASMB-MTB1-0B3A2";;;
6;"RN401";"R_Array_Concave_4x0603";1;"EXB-V8V102JV";;;
7;"C204";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"10u";;;
8;"J301";"RJ45_Wuerth_7499010121A_Horizontal";1;"RJ45_Wuerth_7499010121A";;;
9;"Q201";"SOT-23";1;"SI5618A";;;
10;"C504,C503,C403,C505,C308,C410,C401,C501,C508,C409,C421,C407,C405,C502,C406,C312,C411,C507,C311,C309,C415,C404,C310,C422,C302";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";25;"0.1u";;;
11;"C506,C203,C205";"CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder";3;"22u";;;
12;"R302";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"1k5";;;
13;"U504";"SOIC-8_3.9x4.9mm_P1.27mm";1;"DG419LEDY";;;
14;"C303";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"470p";;;
15;"Y301";"NX5032GA";1;"NX5032GA-25";;;
16;"J501";"1710072";1;"1710072";;;
17;"J401";"PinHeader_2x05_P1.27mm_Vertical";1;"20021111-00010T4LF";;;
18;"U403";"LQFP-100_14x14mm_P0.5mm";1;"STM32H743VITx";;;
19;"R403,R402,R506,R515,R405";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";5;"0";;;
20;"U301";"VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias";1;"LAN8742A";;;
21;"U202";"SOT-223-3_TabPin2";1;"LM1117MP-3.3/NOPB";;;
22;"HS101";"960-19-12-S-AB-0";1;"960-19-12-S-AB-0";;;
23;"R201,R501,R202";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";3;"100k";;;
24;"U501";"HMSR-SMS";1;"HMSR-SMS";;;
25;"Q202";"SOT-23";1;"MMBT3904";;;
26;"RN301";"R_Array_Concave_4x0603";1;"EXB-V8V330JV";;;
27;"U401";"MSOP-8_3x3mm_P0.65mm";1;"LT6350xMS8";;;
28;"U402";"SOT-23-5_HandSoldering";1;"REF2033AIDDCT";;;
29;"R511";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"100k/0.1%";;;
30;"U201";"Converter_DCDC_TRACO_TSR-1_THT";1;"TSR_1-2450";;;
31;"U502";"SSOP-16_3.9x4.9mm_P0.635mm";1;"OPA4340EA";;;
32;"C412,C305,C307,C408,C306,C414,C402";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";7;"1u";;;
33;"C201";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"10u/50V";;;
34;"R407,R406";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"4k7";;;
35;"C202";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"4u7/50V";;;
36;"R303,R505,R502,R401,R504,R301,R404";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";7;"10k";;;
37;"C418";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"10u";;;
38;"RN303";"R_Array_Concave_4x0603";1;"EXB-38V510JV";;;
39;"R305,R306";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"560";;;
40;"Y401";"NX5032GA";1;"NX5032GA-16";;;
41;"R513";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"18k/0.05%";;;
42;"D202";"D_SOD-123";1;"1N4148W";;;
43;"C510,C511,C509";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";3;"4n7";;;
44;"D201";"SOT-23";1;"BZX84C10LT1G";;;
45;"C416,C304,C301,C417";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";4;"8p";;;
46;"C419,C420";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"2u2";;;
47;"U404";"MSOP-8_3x3mm_P0.65mm";1;"24LC08B-E/MS";;;
48;"R512";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"180k/0.05%";;;
49;"R514";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"2k/0.05%";;;
50;"R503";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"30k";;;
51;"R304";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"12k1";;;
52;"RN302";"R_Array_Concave_4x0603";1;"EXB-V8V103JV";;;
53;"F201";"Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder";1;"1812L075/33DR";;;
